time	V(A,N016)	I(L1)
3.872992537322338e-04	1.039186e+02	-1.791448e+00
3.873668495135429e-04	1.039184e+02	-1.790625e+00
3.874368307601357e-04	1.039182e+02	-1.789773e+00
3.875032231163769e-04	1.039180e+02	-1.788964e+00
3.875739962233143e-04	1.039178e+02	-1.788102e+00
3.876381335968897e-04	1.039177e+02	-1.787320e+00
3.877234748661633e-04	1.039174e+02	-1.786281e+00
3.878036420137086e-04	1.039172e+02	-1.785305e+00
3.879093940362850e-04	1.039169e+02	-1.784017e+00
3.880207306246088e-04	1.039166e+02	-1.782662e+00
3.881865037962361e-04	1.039162e+02	-1.780644e+00
3.883635649366314e-04	1.039157e+02	-1.778489e+00
3.885403528489616e-04	1.039152e+02	-1.776337e+00
3.887230754096166e-04	1.039147e+02	-1.774114e+00
3.889164196122577e-04	1.039142e+02	-1.771762e+00
3.890953395813378e-04	1.039137e+02	-1.769586e+00
3.892820502656574e-04	1.039132e+02	-1.767316e+00
3.894517267171473e-04	1.039127e+02	-1.765253e+00
3.896119653725959e-04	1.039123e+02	-1.763305e+00
3.897854657655998e-04	1.039118e+02	-1.761196e+00
3.899358151213082e-04	1.039113e+02	-1.759369e+00
3.901044110450023e-04	1.039109e+02	-1.757321e+00
3.902445736845180e-04	1.039105e+02	-1.755618e+00
3.903954094250442e-04	1.039101e+02	-1.753786e+00
3.905603028537125e-04	1.039096e+02	-1.751784e+00
3.907101569181198e-04	1.039092e+02	-1.749964e+00
3.909107922972534e-04	1.039086e+02	-1.747529e+00
3.910940711906348e-04	1.039081e+02	-1.745304e+00
3.913782997959532e-04	1.039073e+02	-1.741855e+00
3.916452180070945e-04	1.039065e+02	-1.738617e+00
3.921790544293771e-04	1.039049e+02	-1.732144e+00
3.926792925008221e-04	1.039035e+02	-1.726082e+00
3.936797686437087e-04	1.039005e+02	-1.713969e+00
3.949710706405325e-04	1.038965e+02	-1.698355e+00
3.975536746341837e-04	1.038884e+02	-1.667199e+00
4.015766304069877e-04	1.038749e+02	-1.618846e+00
4.080632650353098e-04	1.038515e+02	-1.541353e+00
4.185814830362893e-04	1.038115e+02	-1.416894e+00
4.348185178215287e-04	1.037483e+02	-1.227500e+00
4.572788766426215e-04	1.036618e+02	-9.708817e-01
4.885876062928063e-04	1.035430e+02	-6.196084e-01
4.887099060180040e-04	1.035425e+02	-6.182554e-01
4.889545054683961e-04	1.035416e+02	-6.155720e-01
4.892188610647781e-04	1.035406e+02	-6.126726e-01
4.895671608018369e-04	1.035393e+02	-6.088536e-01
4.899475344694176e-04	1.035379e+02	-6.046847e-01
4.904764462125601e-04	1.035360e+02	-5.988905e-01
4.910802064957073e-04	1.035337e+02	-5.922807e-01
4.920897550214180e-04	1.035300e+02	-5.812381e-01
4.933697610205560e-04	1.035253e+02	-5.672570e-01
4.959297730188321e-04	1.035158e+02	-5.393667e-01
5.010497970153842e-04	1.034971e+02	-4.838614e-01
5.112898450084918e-04	1.034597e+02	-3.734514e-01
5.138498570067679e-04	1.034505e+02	-3.460188e-01
5.189698810033200e-04	1.034320e+02	-2.915444e-01
5.292249290667281e-04	1.033953e+02	-1.829172e-01
5.295877879102341e-04	1.033940e+02	-1.790999e-01
5.299506467537401e-04	1.033927e+02	-1.752845e-01
5.303135055972462e-04	1.033914e+02	-1.714708e-01
5.306763644407521e-04	1.033901e+02	-1.676589e-01
5.310392232842581e-04	1.033888e+02	-1.638488e-01
5.314020821277642e-04	1.033875e+02	-1.600405e-01
5.317649409712702e-04	1.033862e+02	-1.562339e-01
5.343249529695462e-04	1.033772e+02	-1.294290e-01
5.353257389100355e-04	1.033736e+02	-1.189552e-01
5.363265248505249e-04	1.033701e+02	-1.084922e-01
5.373273107910141e-04	1.033666e+02	-9.804010e-02
5.383280967315034e-04	1.033630e+02	-8.759877e-02
5.393288826719926e-04	1.033595e+02	-7.716826e-02
5.403296686124820e-04	1.033560e+02	-6.674858e-02
5.413304545529712e-04	1.033525e+02	-5.633971e-02
5.413317045588305e-04	1.033525e+02	-5.632672e-02
5.413342045705490e-04	1.033525e+02	-5.630074e-02
5.413352045705484e-04	1.033525e+02	-5.629035e-02
5.413362045705479e-04	1.033524e+02	-5.627995e-02
5.413372045705474e-04	1.033524e+02	-5.626956e-02
5.413382045705468e-04	1.033524e+02	-5.625917e-02
5.413383295705468e-04	1.033524e+02	-5.625787e-02
5.413385795705467e-04	1.033524e+02	-5.625527e-02
5.413385795706473e-04	1.033524e+02	-5.625527e-02
5.413385795708485e-04	1.033524e+02	-5.625527e-02
5.413385795709491e-04	1.033524e+02	-5.625527e-02
5.413387045709490e-04	1.033524e+02	-5.625398e-02
5.413388295709490e-04	1.033524e+02	-5.625268e-02
5.413389545709489e-04	1.033524e+02	-5.625138e-02
5.413389547346756e-04	1.033524e+02	-5.625138e-02
5.413389547399526e-04	1.033525e+02	-5.625138e-02
5.413390797399525e-04	1.033524e+02	-5.625008e-02
5.413392047399525e-04	1.033524e+02	-5.624878e-02
5.413393297399524e-04	1.033524e+02	-5.624748e-02
5.413395797399523e-04	1.033524e+02	-5.624488e-02
5.413398743662860e-04	1.033524e+02	-5.624182e-02
5.413403618514563e-04	1.033524e+02	-5.623676e-02
5.413408783787772e-04	1.033524e+02	-5.623139e-02
5.413419114334191e-04	1.033524e+02	-5.622065e-02
5.413439763829533e-04	1.033524e+02	-5.619919e-02
5.413455725314827e-04	1.033524e+02	-5.618261e-02
5.413477385721871e-04	1.033524e+02	-5.616010e-02
5.413486862948652e-04	1.033524e+02	-5.615025e-02
5.413492463313858e-04	1.033524e+02	-5.614443e-02
5.413495708668781e-04	1.033524e+02	-5.614106e-02
5.413498400065817e-04	1.033524e+02	-5.613826e-02
5.413498400066823e-04	1.033524e+02	-5.613826e-02
5.413498400067829e-04	1.033524e+02	-5.613826e-02
5.413498400069841e-04	1.033524e+02	-5.613826e-02
5.413508400069836e-04	1.033525e+02	-5.612787e-02
5.413518400069831e-04	1.033530e+02	-5.611748e-02
5.413528400069825e-04	1.033571e+02	-5.610709e-02
5.413538400069820e-04	1.033755e+02	-5.609670e-02
5.413548400069815e-04	1.034136e+02	-5.608630e-02
5.413558400069809e-04	1.034496e+02	-5.607590e-02
5.413568400069804e-04	1.034591e+02	-5.606549e-02
5.413578400069799e-04	1.034473e+02	-5.605509e-02
5.413588400069794e-04	1.034285e+02	-5.604469e-02
5.413598400069788e-04	1.034056e+02	-5.603430e-02
5.413606264309603e-04	1.033824e+02	-5.602612e-02
5.413611575278907e-04	1.033607e+02	-5.602060e-02
5.413616166121994e-04	1.033346e+02	-5.601583e-02
5.413619475924530e-04	1.033078e+02	-5.601239e-02
5.413622735783476e-04	1.032690e+02	-5.600901e-02
5.413626090187175e-04	1.032086e+02	-5.600553e-02
5.413629458678806e-04	1.031202e+02	-5.600203e-02
5.413633287490935e-04	1.029940e+02	-5.599806e-02
5.413636519513362e-04	1.028787e+02	-5.599472e-02
5.413640502135372e-04	1.027349e+02	-5.599060e-02
5.413644678306170e-04	1.025843e+02	-5.598630e-02
5.413653030647801e-04	1.022825e+02	-5.597769e-02
5.413658484516894e-04	1.020821e+02	-5.597209e-02
5.413661572644390e-04	1.019586e+02	-5.596892e-02
5.413663938509186e-04	1.018392e+02	-5.596649e-02
5.413665602189525e-04	1.017077e+02	-5.596479e-02
5.413667013643222e-04	1.015086e+02	-5.596335e-02
5.413668411300698e-04	1.011451e+02	-5.596193e-02
5.413670160992340e-04	1.003776e+02	-5.596015e-02
5.413671754936102e-04	9.941191e+01	-5.595855e-02
5.413671755001292e-04	9.941187e+01	-5.595855e-02
5.413671755131674e-04	9.941174e+01	-5.595855e-02
