time	V(vd)	V(vgs)	Id(M1)
1.856656715180324e-005	5.276174e-002	5.001637e+000	1.982062e-001
1.917360075975326e-005	5.475507e-002	5.001558e+000	2.055422e-001
2.017360075975326e-005	5.791283e-002	5.001547e+000	2.171642e-001
2.117360075975326e-005	6.091579e-002	5.001533e+000	2.281949e-001
2.217360075975326e-005	6.374051e-002	5.001517e+000	2.385496e-001
2.317360075975326e-005	6.638050e-002	5.001502e+000	2.482084e-001
2.517360075975326e-005	7.108475e-002	5.001469e+000	2.653742e-001
2.617360075975326e-005	7.314076e-002	5.001451e+000	2.728582e-001
2.717360075975326e-005	7.502543e-002	5.001435e+000	2.797097e-001
2.758400000000000e-005	7.574518e-002	5.001428e+000	2.823236e-001
2.776320151950653e-005	7.604167e-002	5.001425e+000	2.833997e-001
2.812160455851960e-005	7.662817e-002	5.001426e+000	2.855029e-001
2.812260455851959e-005	7.662505e-002	5.001422e+000	2.855016e-001
2.812460455851958e-005	7.662022e-002	5.001417e+000	2.855021e-001
2.812860455851956e-005	7.662887e-002	5.001419e+000	2.855296e-001
2.813660455851953e-005	7.664037e-002	5.001418e+000	2.855725e-001
2.815260455851945e-005	7.666567e-002	5.001418e+000	2.856638e-001
2.818460455851931e-005	7.671502e-002	5.001417e+000	2.858430e-001
2.824860455851901e-005	7.681343e-002	5.001416e+000	2.861998e-001
2.837660455851843e-005	7.701172e-002	5.001416e+000	2.869188e-001
2.837760455851842e-005	7.701186e-002	5.001415e+000	2.869188e-001
