time	V(vds)	V(vgs)	Id(M1)
9.921496361686638e-007	1.375441e-002	9.847967e+000	1.427228e-001
1.005149636168665e-006	1.391023e-002	9.853255e+000	1.444042e-001
1.018149636168665e-006	1.406501e-002	9.858122e+000	1.460706e-001
1.031149636168666e-006	1.421876e-002	9.862570e+000	1.477219e-001
1.045721064740096e-006	1.438973e-002	9.867242e+000	1.495555e-001
1.060292493311525e-006	1.455926e-002	9.871650e+000	1.513713e-001
1.074863921882955e-006	1.472735e-002	9.875792e+000	1.531695e-001
1.089435350454385e-006	1.489399e-002	9.879669e+000	1.549499e-001
1.104006779025815e-006	1.505919e-002	9.883281e+000	1.567126e-001
1.118578207597244e-006	1.522295e-002	9.886628e+000	1.584577e-001
1.133149636168674e-006	1.538526e-002	9.889709e+000	1.601850e-001
1.154149636168675e-006	1.561659e-002	9.893914e+000	1.626450e-001
1.171721064740105e-006	1.580779e-002	9.897124e+000	1.646758e-001
1.189292493311535e-006	1.599690e-002	9.900165e+000	1.666831e-001
1.206863921882965e-006	1.618391e-002	9.903037e+000	1.686669e-001
1.224435350454395e-006	1.636882e-002	9.905741e+000	1.706271e-001
1.242006779025825e-006	1.655164e-002	9.908276e+000	1.725639e-001
1.259578207597255e-006	1.673236e-002	9.910642e+000	1.744772e-001
1.277149636168685e-006	1.691099e-002	9.912840e+000	1.763670e-001
1.299006779025829e-006	1.713027e-002	9.915423e+000	1.786859e-001
1.320863921882974e-006	1.734649e-002	9.917877e+000	1.809717e-001
1.342721064740118e-006	1.755965e-002	9.920202e+000	1.832245e-001
1.364578207597263e-006	1.776976e-002	9.922398e+000	1.854441e-001
1.386435350454407e-006	1.797681e-002	9.924464e+000	1.876307e-001
1.408292493311552e-006	1.818081e-002	9.926401e+000	1.897841e-001
1.430149636168696e-006	1.838175e-002	9.928209e+000	1.919045e-001
1.454149636168698e-006	1.859911e-002	9.930122e+000	1.941979e-001
1.483435350454414e-006	1.885941e-002	9.932295e+000	1.969435e-001
1.512721064740131e-006	1.911484e-002	9.934363e+000	1.996373e-001
1.542006779025847e-006	1.936540e-002	9.936328e+000	2.022793e-001
1.571292493311564e-006	1.961110e-002	9.938189e+000	2.048697e-001
1.600578207597280e-006	1.985193e-002	9.939945e+000	2.074082e-001
1.629863921882997e-006	2.008790e-002	9.941598e+000	2.098951e-001
1.659149636168713e-006	2.031899e-002	9.943148e+000	2.123302e-001
1.672578207597286e-006	2.042351e-002	9.943843e+000	2.134315e-001
1.686006779025858e-006	2.052711e-002	9.944525e+000	2.145231e-001
1.699435350454431e-006	2.062977e-002	9.945193e+000	2.156048e-001
1.712863921883003e-006	2.073150e-002	9.945848e+000	2.166767e-001
1.726292493311575e-006	2.083231e-002	9.946489e+000	2.177388e-001
1.739721064740148e-006	2.093219e-002	9.947117e+000	2.187910e-001
1.753149636168720e-006	2.103114e-002	9.947731e+000	2.198335e-001
