time	V(vds)	V(vgs)	Id(M1)
5.913570825893364e-006	8.074005e-001	4.063988e+000	1.197999e-001
5.928583001917327e-006	1.285306e+000	4.064487e+000	1.199344e-001
5.942330969666253e-006	1.724997e+000	4.064790e+000	1.200117e-001
5.964764863557936e-006	2.452707e+000	4.064816e+000	1.199940e-001
5.990703832000767e-006	3.325603e+000	4.063723e+000	1.196207e-001
6.004747504631122e-006	3.846225e+000	4.061780e+000	1.189534e-001
6.016791721609141e-006	4.367452e+000	4.058179e+000	1.176203e-001
6.025586315726641e-006	4.818025e+000	4.053785e+000	1.157992e-001
6.031203289429883e-006	5.148078e+000	4.049226e+000	1.132618e-001
6.034040515235207e-006	5.323049e+000	4.041598e+000	1.064059e-001
6.035715269707961e-006	5.415648e+000	4.026348e+000	9.324988e-002
6.037019860107799e-006	5.470195e+000	4.001355e+000	7.626438e-002
6.038416470390299e-006	5.510344e+000	3.961588e+000	5.772984e-002
6.040395435059118e-006	5.548578e+000	3.892092e+000	3.864451e-002
6.042574339495495e-006	5.576687e+000	3.806042e+000	2.739010e-002
6.044813751790147e-006	5.595974e+000	3.711706e+000	2.277206e-002
6.047429907171576e-006	5.611398e+000	3.598434e+000	2.074259e-002
6.051283194287806e-006	5.626958e+000	3.431886e+000	1.912129e-002
6.057706529627047e-006	5.644461e+000	3.163131e+000	1.703143e-002
6.065887934892090e-006	5.659459e+000	2.842828e+000	1.474976e-002
6.074791339860804e-006	5.670235e+000	2.532076e+000	1.263572e-002
6.088904025428649e-006	5.681559e+000	2.111717e+000	9.859039e-003
6.102828457514727e-006	5.689175e+000	1.770898e+000	7.644310e-003
6.116568602199967e-006	5.694288e+000	1.505299e+000	5.924879e-003
6.131067840191445e-006	5.698088e+000	1.287966e+000	4.511292e-003
6.146739763280152e-006	5.701015e+000	1.109894e+000	3.340768e-003
6.163666095038497e-006	5.703237e+000	9.696423e-001	2.406848e-003
6.184426559114415e-006	5.705060e+000	8.519071e-001	1.621776e-003
6.213068688796168e-006	5.706633e+000	7.479844e-001	9.493819e-004
6.244197660288655e-006	5.707607e+000	6.799330e-001	5.401241e-004
6.277845058593658e-006	5.708127e+000	6.378252e-001	3.161871e-004
6.319769899396926e-006	5.708388e+000	6.077386e-001	1.818646e-004
6.372243704844931e-006	5.708451e+000	5.859473e-001	1.048493e-004
